Collection	Sample	Species	Plant_height	Veg_height	Leaf_width	Leaf_length	Sheath_length	Leaf_roll	Leaf_dry	Internode_dist	Culm_diam	Inflor_length	Spikelet_no	Pedicel_length_epu	Glume_length_outer	Glume_length_inner	Spikelet_width	Spikelet_length	Lemma_outer_length	Lemma_inner_length	Striation_no	Lemma_tip	Hair_tuft		
3	1	E_rehmannii_subspicata	460	357	4.46	67.51	23.29	0	0	35.66	0.92	67.81	25	50	62	58	22	64	62	64	7	0	1		
3	2	E_rehmannii_subspicata	535	370	5.21	87.27	27.43	0	0	70.98	1.41	49.07	10	39	64	61	20	68	61	63	8	0	1		
1590	2	E_rehmannii_subspicata	1025	950	3.38	132.02	45.78	0	0	53.69	1.03	24.06	4	29.5	65.5	62	22	68.5	58.5	61	8	0	1		
1659	1	E_rehmannii_subspicata	475	400	6.54	105.19	51.57	0	0	76.05	1.88	36.1	9	30	60.5	60	21	73.5	66	65	8	0	1		
1660	1	E_rehmannii_subspicata	490	405	1.34	20.37	27.2	1	1	106.69	1.32	22.26	7	12	47	42	15	45	25	22	6	0	1		
1649	6	E_rehmannii_rehmannii	725	375	4.55	138.64	57.64	1	0	136.22	1.55	102.12	30	91	69	65	20	69	63	57	9	0	1		
1652	1	E_rehmannii_rehmannii	650	600	6.46	122.2	52.47	0	0	105.29	1.9	119.71	44	181	61	60	25	72.5	64	68	9	1	1		
1653	3	E_rehmannii_rehmannii	670	410	3.58	77.6	46.99	0	0	84.31	1.52	73.3	20	56	73	71	21	81.5	76	79.5	9	1	1		
1567	1	E_rehmannii_filiformis	570	540	0.43	17.16	12.07	0	1	75.38	0.6	5.69	1	18	55.5	51	17.5	48	41	39	16	0	1		
1571	3	E_rehmannii_filiformis	330	310	0.83	12.41	13.08	0	1	47.36	0.4	9.44	1	35	50.5	46.5	14	54.5	43	50	19	0	1		
1583	2	E_rehmannii_filiformis	410	385	1.26	14.52	15.94	1	1	64.52	0.69	7.9	2	16	39	39	12	35	30	30.5	11	0	1		
1591	4	E_rehmannii_filiformis	1040	980	2.36	56.13	24.35	0	0	47.3	1.07	10.53	4	22	60	58.5	19	57	46.5	52	21	0	1		
1592	4	E_rehmannii_filiformis	530	475	0.86	15.77	20.08	1	1	78.36	0.51	7.38	1	35	48.5	45.5	18	50	42	47.5	12	0	1	short	
1615	4	E_rehmannii_filiformis	350	300	1.12	14.49	17.89	1	1	38.28	0.63	7.34	1	28	54	53	14	48	41	45.5	14	0	1		
1	4	E_rehmannii_filiformis	870	805	2.57	117.68	41.67	0	0	109.08	1.19	25.06	7	20	59.5	60	22	58	51.5	54	19	0	1		
4	4	E_rehmannii_filiformis	450	420	0.6	15.28	20.18	1	1	73.87	0.8	24.51	6	33	61	62	16	57.5	49	53	5	1	1		
1658	2	E_rehmannii_filiformis	610	550	1.6	38.51	24.08	1	0	44.79	1.29	24.9	5	27	62	61	20	61	54	58	17	0	1		
1566	2	E_ramosa_aphylla	520	430	1.35	32.25	65.5	1	1	82.34	1.81	55.02	12	66	84	86	22	69	60	65.5	11	1	1		
1570	1	E_ramosa_aphylla	430	350	0.79	12.71	44.79	1	1	152.95	1.43	56.21	14	52	84	82	24	69	66	69.5	11	1	1		
